#                                            ID                                       # sources in
# Name                    RA       Dec      Number   Rate/s   err/s     sigma  t(sec)  src  bkgd
PSZ1_G225.80-66.19   39.8283 -29.8144  102.00  0.00386  0.00632   0.61   405.72    0    0
PSZ1_G226.86-66.47   39.5034 -30.2401  103.00  0.00577  0.00723   0.80   386.95    0    0
PSZ1_G228.24-28.77   81.9525 -25.1817  104.00  0.00057  0.00578   0.10   445.15    0    0
PSZ1_G229.92-28.32   82.9519 -26.4455  105.00  0.00048  0.00549   0.09   467.96    0    1
PSZ1_G231.74-09.98  102.2789 -21.2033  106.00  0.00650  0.00630   1.03   476.87    0    0
PSZ1_G235.05-10.32  103.4494 -24.3002  107.00  0.00538  0.00663   0.81   510.71    0    1
PSZ1_G236.51+48.39  155.1325   5.9977  108.00 -0.00382  0.00379  -1.01   424.57    0    1
PSZ1_G236.57-08.38  106.0875 -24.8093  109.00 -0.00075  0.00540  -0.14   427.18    0    0
PSZ1_G236.57-37.68   74.0077 -34.1364  110.00 -0.00136  0.00641  -0.21   360.44    0    0
PSZ1_G237.94+21.65  133.9327 -10.4564  111.00 -0.00784  0.00297  -2.64   321.94    0    0
PSZ1_G240.42+77.58  181.0764  20.9143  112.00  0.00788  0.00700   1.12   456.94    0    0
PSZ1_G240.67-65.42   39.8975 -35.9414  113.00  0.00514  0.00607   0.85   495.76    0    0
PSZ1_G241.61-59.05   47.5900 -37.6436  114.00  0.00519  0.00723   0.72   387.19    0    0
PSZ1_G241.68-30.47   83.7111 -36.8848  115.00  0.04315  0.01041   4.14   594.32    0    1
PSZ1_G244.48+34.06  147.4657  -7.4912  116.00  0.00703  0.00654   1.08   459.88    0    0
PSZ1_G244.68-51.59   56.7906 -40.4123  117.00 -0.00815  0.00679  -1.20   138.83    0    0
PSZ1_G245.21-65.29   39.4219 -37.8016  118.00 -0.00040  0.00439  -0.09   525.81    0    1
PSZ1_G248.23-20.89   97.5166 -40.0232  119.00 -0.00483  0.00335  -1.44   599.12    0    0
PSZ1_G252.36-32.75   82.7331 -46.2268  120.00 -0.00404  0.00416  -0.97   725.24    0    1
PSZ1_G253.10+29.81  149.3217 -15.7452  121.00 -0.00014  0.00612  -0.02   377.18    0    0
PSZ1_G253.21-10.95  111.9824 -40.6630  122.00  0.00017  0.00954   0.02   209.55    0    0
PSZ1_G258.71+33.27  155.4252 -16.4450  123.00  0.00055  0.00683   0.08   410.07    0    0
PSZ1_G259.04-83.24   18.3700 -31.8876  124.00  0.00192  0.00877   0.22   343.50    0    3
PSZ1_G259.06+24.58  149.5774 -23.1879  125.00 -0.00356  0.00392  -0.91   511.77    0    1
PSZ1_G262.45+49.34  167.7164  -5.4615  126.00  0.01037  0.00819   1.27   390.32    0    0
PSZ1_G264.01+59.77  174.4042   2.6030  127.00  0.00643  0.00699   0.92   430.42    0    0
PSZ1_G265.52-25.58   96.8456 -56.5656  128.00 -0.00229  0.00272  -0.84  1312.04    0    0
PSZ1_G266.66-24.88   98.4894 -57.4427  129.00 -0.00521  0.00261  -2.00   771.98    0    0
PSZ1_G267.16-60.72   38.5035 -48.6646  130.00 -0.00075  0.00420  -0.18   764.60    0    0
PSZ1_G268.56-26.23   96.5751 -59.3790  131.00  0.00090  0.00349   0.26  1064.78    0    0
PSZ1_G268.86+55.92  174.5561  -2.0265  132.00 -0.00264  0.00536  -0.49   373.60    0    0
PSZ1_G269.35-53.39   46.9098 -53.9201  133.00 -0.00124  0.00368  -0.34   819.21    0    0
PSZ1_G272.99-20.73  109.5113 -61.9724  134.00 -0.00087  0.00271  -0.32  1252.88    0    0
PSZ1_G273.13-25.03  100.5555 -63.2198  135.00 -0.00283  0.00205  -1.38  2031.56    0    0
PSZ1_G273.98+05.67  148.0647 -46.8829  136.00  0.00768  0.00738   1.04   481.44    0    0
PSZ1_G279.17-80.06   17.7970 -36.1337  137.00  0.00506  0.00851   0.59   376.70    0    0
PSZ1_G279.45-24.07  105.8260 -68.6390  138.00 -0.00119  0.00400  -0.30   753.62    0    0
PSZ1_G279.52-14.33  128.5355 -64.7135  139.00  0.00007  0.00381   0.02   791.67    0    0
PSZ1_G280.18+14.59  162.2006 -42.7927  140.00 -0.00098  0.00856  -0.11   300.36    0    0
PSZ1_G281.04-24.59  105.2862 -70.1673  141.00  0.00209  0.00457   0.46   778.19    0    0
PSZ1_G286.25+62.68  185.2926   0.7928  142.00 -0.00387  0.00552  -0.70   363.45    0    0
PSZ1_G288.27+11.71  170.8385 -48.6316  143.00  0.01702  0.01626   1.05   171.95    0    0
PSZ1_G288.87-32.97   73.7864 -76.5192  144.00  0.02235  0.00799   2.80   626.94    0    0
PSZ1_G291.18+21.78  178.6168 -39.7860  145.00  0.00411  0.01329   0.31   150.19    0    0
PSZ1_G291.58-23.91  117.7628 -79.2771  146.00  0.01579  0.00898   1.76   430.02    0    0
PSZ1_G294.53-19.66  145.1879 -79.2816  147.00  0.00272  0.00442   0.61   804.49    0    0
PSZ1_G295.98-69.26   16.5024 -47.6643  148.00  0.00314  0.00996   0.31   231.59    0    0
PSZ1_G297.20-44.90   25.8264 -71.6406  149.00  0.02818  0.03493   0.81    57.03    0    0
PSZ1_G301.08-24.08  163.7764 -86.5368  150.00 -0.01194  0.00421  -2.84   227.17    0    1
PSZ1_G303.89-18.52  198.9364 -81.3522  151.00 -0.00301  0.00827  -0.36   241.93    0    0
PSZ1_G303.94-24.33  211.2297 -87.0561  152.00 -0.00022  0.00915  -0.02   252.36    0    0
PSZ1_G307.10-10.17  206.6979 -72.5963  153.00 -0.00094  0.00573  -0.16   489.04    0    0
PSZ1_G309.93+09.20  204.3976 -53.0369  154.00  0.07004  0.02398   2.92   183.85    0    0
PSZ1_G311.65-18.48  237.5553 -78.2006  155.00  0.03275  0.02030   1.61   174.80    0    0
PSZ1_G311.94-33.25  323.2551 -80.0905  156.00 -0.00308  0.00855  -0.36   187.55    0    0
PSZ1_G313.10-22.56  258.7491 -79.7049  157.00 -0.00506  0.00805  -0.63   199.42    0    0
PSZ1_G313.74-65.82    5.8892 -50.7087  158.00 -0.00839  0.00542  -1.55   174.76    0    0
