#                                      ID                                       # sources in
# Name              RA       Dec      Number   Rate/s   err/s     sigma  t(sec)  src  bkgd
PSZ2_G226.15+09.02  117.0195  -7.4467  432.00  0.00683  0.00974   0.70   145.70    0    0
PSZ2_G227.30+09.00  117.5642  -8.4398  433.00  0.03362  0.01299   2.59   243.84    0    0
PSZ2_G227.44-31.24   79.1245 -25.2856  434.00 -0.00029  0.00504  -0.06   446.71    0    0
PSZ2_G228.35-66.31   39.6692 -30.8391  435.00  0.02265  0.00871   2.60   381.29    0    0
PSZ2_G229.40-15.49   95.8814 -21.4042  436.00  0.02310  0.00731   3.16   628.30    0    0
PSZ2_G230.28-28.57   82.7881 -26.8247  437.00 -0.00580  0.00218  -2.66   471.08    0    0
PSZ2_G231.41+77.48  179.9967  22.5808  438.00  0.00073  0.00443   0.16   454.47    0    0
PSZ2_G232.27+12.59  123.1990 -10.8506  439.00  0.02219  0.01020   2.17   310.65    0    0
PSZ2_G232.45-17.44   95.1723 -24.8617  440.00  0.00071  0.00481   0.15   662.72    0    0
PSZ2_G233.12-26.25   86.1638 -28.5031  441.00  0.00038  0.00458   0.08   538.55    0    1
PSZ2_G233.43-15.36   97.6808 -24.9288  442.00 -0.00640  0.00246  -2.60   587.06    0    0
PSZ2_G233.46+25.46  134.8023  -4.9223  443.00 -0.00450  0.00295  -1.53   345.43    0    0
PSZ2_G234.09+10.45  122.2898 -13.4885  444.00  0.02873  0.01147   2.51   289.80    0    0
PSZ2_G235.96+38.21  146.5462   0.4861  445.00 -0.00386  0.00231  -1.67   441.88    0    0
PSZ2_G237.68+57.83  163.3788  10.8158  446.00 -0.00343  0.00536  -0.64   188.80    0    0
PSZ2_G240.03-19.81   95.6319 -32.4179  447.00  0.02181  0.00775   2.81   578.36    0    0
PSZ2_G240.71-74.03   29.8348 -33.5395  448.00  0.02079  0.00884   2.35   358.24    0    0
PSZ2_G241.41-65.88   39.2630 -36.1301  449.00 -0.00286  0.00290  -0.99   494.15    0    1
PSZ2_G241.91+07.79  124.2631 -21.4343  450.00 -0.00598  0.00335  -1.79   305.66    0    0
PSZ2_G241.98+19.56  134.4558 -14.7420  451.00 -0.00194  0.00404  -0.48   353.30    0    1
PSZ2_G242.74-11.66  105.6922 -31.7029  452.00  0.02151  0.00829   2.60   418.78    0    1
PSZ2_G243.00-65.94   38.9778 -36.7376  453.00 -0.00232  0.00289  -0.81   495.38    0    0
PSZ2_G245.66-07.40  111.7015 -32.4179  454.00  0.00961  0.00705   1.36   348.52    0    0
PSZ2_G246.45-07.68  111.8393 -33.2310  455.00  0.01627  0.00806   2.02   351.60    0    0
PSZ2_G246.86-12.29  107.0409 -35.6274  456.00 -0.00093  0.00369  -0.25   473.65    0    0
PSZ2_G246.91+24.65  141.5201 -15.1874  457.00  0.02090  0.00831   2.51   399.71    0    0
